address,buildYear,lon,lat
"10-я Красноармейская ул., 11 литер А",1873,30.296348,59.913018
"10-я Красноармейская ул., 13 литер А",1863,30.295791,59.913009
"10-я Красноармейская ул., 13 литер Г",1863,30.295791,59.913009
"10-я Красноармейская ул., 14 литер А",1908,30.299914,59.912797
"10-я Красноармейская ул., 16 литер А",1899,30.299195,59.912806
"10-я Красноармейская ул., 21 литер А",1907,30.293491,59.912937
"10-я Красноармейская ул., 23 литер А",1875,30.293096,59.912919
"10-я Красноармейская ул., 24 литер А",1917,30.293482,59.912558
"10-я Красноармейская ул., 3/9 литер А",1917,30.304612,59.913293
"10-я Красноармейская ул., 4 литер А",1905,30.304945,59.912851
"10-я Красноармейская ул., 6 литер А",1917,30.304397,59.912842
"10-я Красноармейская ул., 8 литер А",1879,30.301953,59.912815
"10-я Красноармейская ул., 9 литер А",1868,30.296572,59.913023
"10-я Красноармейская ул., 9 литер Б",1868,30.296572,59.913023
"10-я линия В.О., 23 литер А",1903,30.274716,59.941002
"10-я линия В.О., 25/42 литер А",1874,30.274186,59.941416
"10-я линия В.О., 27/45 литер А",1911,30.273593,59.94193
"10-я линия В.О., 29 литер А",1955,30.273333,59.942146
"10-я линия В.О., 39 литер А",1874,30.271527,59.943737
"10-я линия В.О., 41 литер А",1876,30.271195,59.944012
"10-я линия В.О., 43 литер А",1877,30.271258,59.944463
"10-я линия В.О., 45 литер А",1913,30.271006,59.944733
"10-я линия В.О., 47 литер А",1863,30.27027,59.944801
"10-я линия В.О., 51/31 литер А",1909,30.268841,59.945964
"10-я линия ВО, 13 литер А",1917,30.276657,59.939293
"10-я линия ВО, 15 литер А",1881,30.276495,59.939496
"10-я линия ВО, 15 литер Б",1907,30.276091,59.939771
"10-я линия ВО, 17 литер А",1893,30.275884,59.940019
"10-я линия ВО, 5 литер А",1862,30.277789,59.938297
"10-я линия ВО, 7 литер А",1833,30.277501,59.938662
"10-я линия ВО, 9 литер А",1869,30.277321,59.938879
"10-я линия ВО, 9 литер Б",1869,30.277968,59.938987
"10-я линия ВО, 9 литер В",1869,30.277771,59.939095
"10-я Советская ул., 10/30 литер А",1903,30.380502,59.936931
"10-я Советская ул., 10/30 литер Б",1903,30.380708,59.937206
"10-я Советская ул., 11 литер А",1910,30.379648,59.936859
"10-я Советская ул., 11 литер Б",1876,30.379307,59.936566
"10-я Советская ул., 12/29 литер А",1904,30.381373,59.936607
"10-я Советская ул., 13 литер А",1901,30.380143,59.936706
"10-я Советская ул., 1-3 литер А",1901,30.378023,59.937418
"10-я Советская ул., 14 литер А",1914,30.381921,59.936417
"10-я Советская ул., 15/27 литер А",1910,30.38105,59.936359
"10-я Советская ул., 16 литер А",1914,30.382155,59.936363
"10-я Советская ул., 17 литер А",1910,30.3814,59.936201
"10-я Советская ул., 19 литер А",1912,30.381948,59.935971
"10-я Советская ул., 21 литер А",1908,30.382299,59.935845
"10-я Советская ул., 26 литер А",1903,30.38467,59.935299
"10-я Советская ул., 4-6 литер А",1913,30.379154,59.937369
"10-я Советская ул., 9 литер А",1909,30.379334,59.936949
"11-я Красноармейская ул., 10 литер А",1907,30.303606,59.912102
"11-я Красноармейская ул., 12 литер А",1859,30.303103,59.911953
"11-я Красноармейская ул., 13 литер А",1908,30.299725,59.912382
"11-я Красноармейская ул., 14 литер А",1909,30.302286,59.912098
"11-я Красноармейская ул., 15 а литер А",1899,30.299258,59.912377
"11-я Красноармейская ул., 15 а литер Б",1899,30.299177,59.912599
"11-я Красноармейская ул., 15А литер В",1817,30.299258,59.912377
"11-я Красноармейская ул., 16 литер А",1917,30.301747,59.912093
"11-я Красноармейская ул., 2 б литер А",1813,30.306094,59.912129
"11-я Красноармейская ул., 22 литер А",1904,30.300426,59.91208
"11-я Красноармейская ул., 22 литер Б",1904,30.300426,59.91208
"11-я Красноармейская ул., 4 литер А",1878,30.30516,59.912134
"11-я Красноармейская ул., 5/13 литер А",1879,30.305079,59.912436
"11-я Красноармейская ул., 6 литер А",1828,30.304666,59.912134
"11-я Красноармейская ул., 7/6 а",1977,30.304073,59.912436
"11-я Красноармейская ул., 8 литер А",1879,30.304037,59.911935
"11-я Красноармейская ул., 8 литер Б",1879,30.304037,59.911935
"11-я линия ВО, 14/39 литер А",1912,30.277187,59.938162
"11-я линия ВО, 16 литер A",1886,30.276729,59.938486
"11-я линия ВО, 16 литер Б",1886,30.276342,59.938383
"11-я линия ВО, 20 литер А",1913,30.276163,59.939027
"11-я линия ВО, 20 литер Б",1913,30.275291,59.938788
"11-я линия ВО, 22 литер А",1846,30.275848,59.939334
"11-я линия ВО, 24 литер А",1917,30.275516,59.939582
"11-я линия ВО, 24 литер Б",1917,30.274761,59.939447
"11-я линия ВО, 28 литер А",1843,30.274384,59.940591
"11-я линия ВО, 28 литер Б",1843,30.273459,59.940407
"11-я линия ВО, 30 литер А",1880,30.274177,59.940821
"11-я линия ВО, 32/44 литер А",1900,30.273746,59.941164
"11-я линия ВО, 34/47 литер А",1915,30.272767,59.941853
"11-я линия ВО, 36 литер А",1895,30.272444,59.94198
"11-я линия ВО, 40 литер А",1900,30.271294,59.942656
"11-я линия ВО, 40 литер Б",1917,30.271294,59.942656
"11-я линия ВО, 42 литер А",1882,30.271473,59.943021
"11-я линия ВО, 44 литер А",1900,30.271204,59.943214
"11-я линия ВО, 46 литер А",1910,30.27088,59.943543
"11-я линия ВО, 48 литер А",1876,30.270611,59.943746
"11-я линия ВО, 48 литер Б",1903,30.26982,59.943557
"11-я линия ВО, 52 литер А",1917,30.270225,59.944111
"11-я линия ВО, 58 литер А",1917,30.269542,59.944702
"11-я линия ВО, 60 литер А",1917,30.269326,59.944927
"12-я Красноармейская ул., 1/21 литер А",1846,30.306651,59.911719
"12-я Красноармейская ул., 10 литер А",1893,30.304603,59.911403
"12-я Красноармейская ул., 11 литер А",1869,30.303624,59.91171
"12-я Красноармейская ул., 12 литер А",1877,30.303723,59.911371
"12-я Красноармейская ул., 12 литер Б",1877,30.303768,59.910956
"12-я Красноармейская ул., 13 литер А",1862,30.30269,59.911678
"12-я Красноармейская ул., 13 литер Б",1862,30.30269,59.911678
"12-я Красноармейская ул., 14 литер В",1875,30.303193,59.910866
"12-я Красноармейская ул., 14/16 литер А",1875,30.302816,59.911326
"12-я Красноармейская ул., 14/16 литер Г",1875,30.302816,59.911326
"12-я Красноармейская ул., 14/16 литер Н",1875,30.302816,59.911326
"12-я Красноармейская ул., 15 литер А",1903,30.301908,59.911687
"12-я Красноармейская ул., 15 литер В",1903,30.301908,59.911687
"12-я Красноармейская ул., 19 литер А",1913,30.300543,59.911674
"12-я Красноармейская ул., 21 литер А",1876,30.299887,59.911665
"12-я Красноармейская ул., 21 литер Б",1876,30.299887,59.911665
"12-я Красноармейская ул., 21 литер В",1876,30.299887,59.911665
"12-я Красноармейская ул., 23 литер А",1874,30.299204,59.911656
"12-я Красноармейская ул., 24 литер А",1899,30.301675,59.911335
"12-я Красноармейская ул., 29 литер А",1864,30.29624,59.911638
"12-я Красноармейская ул., 3 литер А",1912,30.305762,59.911737
"12-я Красноармейская ул., 32 литер А",1846,30.297066,59.911313
"12-я Красноармейская ул., 34 литер А",1910,30.296635,59.911042
"12-я Красноармейская ул., 6 литер А",1907,30.305834,59.91143
"12-я Красноармейская ул., 6 литер Б",1907,30.305798,59.911132
"12-я Красноармейская ул., 6 литер Г",1907,30.305861,59.910871
"12-я Красноармейская ул., 7 литер А",1883,30.304513,59.911714
"12-я Красноармейская ул., 8 литер А",1877,30.30525,59.911417
"12-я Красноармейская ул., 8 литер Б",1877,30.305277,59.910938
"12-я линия ВО, 11 литер А",1901,30.274555,59.93822
"12-я линия ВО, 13 литер А",1917,30.274267,59.938482
"12-я линия ВО, 15 литер А",1908,30.274357,59.938874
"12-я линия ВО, 19 литер А",1913,30.273513,59.939135
"12-я линия ВО, 21 литер А",1889,30.273243,59.939356
"12-я линия ВО, 23 литер А",1903,30.273459,59.939812
"12-я линия ВО, 23 литер Б",1903,30.273845,59.939915
"12-я линия ВО, 29/53 литер А",1917,30.270719,59.941452
"12-я линия ВО, 31 литер А",1917,30.270575,59.941673
"12-я линия ВО, 33 литер А",1917,30.270198,59.941953
"12-я линия ВО, 35 литер А",1917,30.269883,59.942214
"12-я линия ВО, 37 литер А",1917,30.269371,59.942651
"12-я линия ВО, 37 литер Б",1917,30.270117,59.942953
"12-я линия ВО, 45 литер А",1917,30.267431,59.944359
"12-я линия ВО, 53 литер А",1907,30.264844,59.946576
"12-я линия ВО, 55/20 литер А",1854,30.264395,59.94696
"12-я линия ВО, 55/20 литер Б",1854,30.264395,59.94696
"12-я линия ВО, 7/43 литер А",1840,30.275192,59.937662
"12-я линия ВО, 9 литер А",1841,30.27548,59.938117
"13-я Красноармейская ул., 13 литер А",1867,30.300597,59.915287
"13-я Красноармейская ул., 14 литер А",1902,30.30269,59.915012
"13-я Красноармейская ул., 15 литер А",1879,30.300157,59.915296
"13-я Красноармейская ул., 15 литер Б",1879,30.300112,59.915467
"13-я Красноармейская ул., 16 литер А",1917,30.302097,59.91498
"13-я Красноармейская ул., 17 а литер А",1910,30.299043,59.915287
"13-я Красноармейская ул., 19 литер А",1866,30.298629,59.915282
"13-я Красноармейская ул., 20 литер А",1905,30.300785,59.914949
"13-я Красноармейская ул., 21 литер Б",1974,30.298072,59.915273
"13-я Красноармейская ул., 22 литер А",1910,30.299977,59.914935
"13-я Красноармейская ул., 23/28 литер А",1900,30.297785,59.915233
"13-я Красноармейская ул., 24 литер А",1894,30.29951,59.914922
"13-я Красноармейская ул., 26 литер А",1917,30.299061,59.914922
"13-я Красноармейская ул., 26 литер Б",1917,30.299061,59.914922
"13-я Красноармейская ул., 28 литер А",1899,30.29871,59.914926
"13-я Красноармейская ул., 6 литер А",1871,30.303876,59.915043
"13-я линия В.О., 10 литер Б",1917,30.276109,59.935426
"13-я линия В.О., 10 литер Г",1917,30.275821,59.935345
"13-я линия В.О., 12 литер А",1917,30.276495,59.935764
"13-я линия В.О., 12 литер Б",1917,30.275749,59.935543
"13-я линия В.О., 18 литер Б",1879,30.273557,59.937689
"13-я линия В.О., 18 литер В",1917,30.273252,59.937855
